I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
nan,nan,nan,nan,nan,nan,-2.256394653320312500e+02,1.336345977783203125e+02,2.747983703613281250e+02,nan,-4.279821777343750000e+02,1.291816558837890625e+02
nan,nan,nan,nan,nan,nan,-2.335929107666015625e+02,1.091736221313476562e+02,2.320948181152343750e+02,nan,-4.256778259277343750e+02,1.296162567138671875e+02
nan,nan,nan,nan,nan,nan,-2.392051391601562500e+02,8.575782012939453125e+01,1.863589324951171875e+02,nan,-4.232184143066406250e+02,1.299295806884765625e+02
nan,nan,nan,nan,nan,nan,-2.448173675537109375e+02,6.234201049804687500e+01,1.406230468750000000e+02,nan,-4.207590332031250000e+02,1.302429046630859375e+02
nan,nan,nan,nan,nan,nan,-2.459848480224609375e+02,3.461274337768554688e+01,1.031555633544921875e+02,nan,-4.163721008300781250e+02,1.305368499755859375e+02
nan,nan,nan,nan,nan,nan,-2.439632873535156250e+02,3.788616895675659180e+00,7.162055969238281250e+01,nan,-4.106022338867187500e+02,1.308169097900390625e+02
nan,nan,nan,nan,nan,nan,-2.419417266845703125e+02,-2.703551101684570312e+01,4.008555603027343750e+01,nan,-4.048323364257812500e+02,1.310969543457031250e+02
nan,nan,nan,nan,nan,nan,-2.389503021240234375e+02,-5.051377868652343750e+01,1.186053371429443359e+01,nan,-3.994981994628906250e+02,1.317949066162109375e+02
nan,nan,nan,nan,nan,nan,-2.338902587890625000e+02,-5.832388687133789062e+01,-9.304544448852539062e+00,nan,-3.950935363769531250e+02,1.333842163085937500e+02
nan,nan,nan,nan,nan,nan,-2.288302001953125000e+02,-6.613399505615234375e+01,-3.046962165832519531e+01,nan,-3.906888427734375000e+02,1.349735107421875000e+02
nan,nan,nan,nan,nan,nan,-2.237331542968750000e+02,-7.228890991210937500e+01,-5.024909973144531250e+01,nan,-3.863894042968750000e+02,1.366532745361328125e+02
nan,nan,nan,nan,nan,nan,-2.180141754150390625e+02,-5.061347198486328125e+01,-4.673116302490234375e+01,nan,-3.838595275878906250e+02,1.398539581298828125e+02
nan,nan,nan,nan,nan,nan,-2.122951812744140625e+02,-2.893803215026855469e+01,-4.321323013305664062e+01,nan,-3.813296508789062500e+02,1.430546417236328125e+02
nan,nan,nan,nan,nan,nan,-2.065761871337890625e+02,-7.262593746185302734e+00,-3.969529342651367188e+01,nan,-3.787997741699218750e+02,1.462553253173828125e+02
