I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-7.320482635498046875e+01,-2.717115783691406250e+01,-1.532439422607421875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.169757843017578125e+01,-3.284948730468750000e+01,-1.611943817138671875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.019032287597656250e+01,-3.852781677246093750e+01,-1.691448364257812500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.868306732177734375e+01,-4.420614242553710938e+01,-1.770952758789062500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.575403976440429688e+01,-5.044752120971679688e+01,-1.645957183837890625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.037620162963867188e+01,-5.673241043090820312e+01,-1.505157012939453125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.650643920898437500e+01,-6.301729965209960938e+01,-1.364356994628906250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.126366806030273438e+02,-6.930218505859375000e+01,-1.223556976318359375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.587669219970703125e+02,-7.558707427978515625e+01,-1.082756881713867188e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.113676910400390625e+02,-7.371070861816406250e+01,-6.651802825927734375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.705811767578125000e+02,-6.349372100830078125e+01,3.525586605072021484e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.297947082519531250e+02,-5.327673339843750000e+01,7.356919860839843750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.890082092285156250e+02,-4.305974197387695312e+01,1.436128234863281250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.482217102050781250e+02,-3.284275436401367188e+01,2.136564331054687500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.071941223144531250e+02,-2.019466590881347656e+01,2.857405395507812500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.624467773437500000e+02,2.996177864074707031e+01,3.893064270019531250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.176994018554687500e+02,8.011822509765625000e+01,4.928723144531250000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.729520874023437500e+02,1.302746734619140625e+02,5.964382324218750000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.282047119140625000e+02,1.804311065673828125e+02,7.000040893554687500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.834573974609375000e+02,2.305875549316406250e+02,8.035700073242187500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.635758056640625000e+02,2.724163208007812500e+02,8.884835205078125000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.990304565429687500e+02,3.092947082519531250e+02,9.623090209960937500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.344850463867187500e+02,3.461730651855468750e+02,1.036134521484375000e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.699396972656250000e+02,3.830514221191406250e+02,1.109959960937500000e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.053943176269531250e+02,4.199298095703125000e+02,1.183785522460937500e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.385252990722656250e+02,4.500007019042968750e+02,1.228728637695312500e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.619701843261718750e+02,4.516943969726562500e+02,1.153274047851562500e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.854150390625000000e+02,4.533880920410156250e+02,1.077819580078125000e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.088599090576171875e+02,4.550817871093750000e+02,1.002365112304687500e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.323047637939453125e+02,4.567754821777343750e+02,9.269105834960937500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.574962615966796875e+01,4.584691772460937500e+02,8.514561157226562500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.350430679321289062e+01,4.178969116210937500e+02,7.635469360351562500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.268239498138427734e+00,3.639616088867187500e+02,6.716999511718750000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.296782779693603516e+01,3.100262756347656250e+02,5.798530273437500000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.120389366149902344e+01,2.560909423828125000e+02,4.880060729980468750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.943996047973632812e+01,2.021556243896484375e+02,3.961591186523437500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.191402435302734375e+01,1.631465148925781250e+02,3.181261596679687500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.247994613647460938e+01,1.549848937988281250e+02,2.686420288085937500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.304586791992187500e+01,1.468232879638671875e+02,2.191579284667968750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.361179351806640625e+01,1.386616668701171875e+02,1.696738281250000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.417771148681640625e+01,1.305000610351562500e+02,1.201897201538085938e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.474363708496093750e+01,1.223384399414062500e+02,7.070561218261718750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.251648330688476562e+01,1.112401733398437500e+02,5.134171295166015625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.995252609252929688e+01,9.978779602050781250e+01,3.560984802246093750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.738856887817382812e+01,8.833541107177734375e+01,1.987798500061035156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
